# n_pixels = 261930000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
# computed from RESCALED optical depths
# tau_scale_factor = 0.45275243139295096
# mean_flux_target = 0.8069154337537775
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,1.765373e+00,5.805112e-04,9248081
3.000000e-02,2.000000e-02,4.000000e-02,3.262448e-01,2.495538e-04,1709066
5.000000e-02,4.000000e-02,6.000000e-02,2.593279e-01,2.224933e-04,1358515
7.000000e-02,6.000000e-02,8.000000e-02,2.268923e-01,2.081145e-04,1188598
9.000000e-02,8.000000e-02,1.000000e-01,2.092372e-01,1.998535e-04,1096110
1.100000e-01,1.000000e-01,1.200000e-01,2.001817e-01,1.954810e-04,1048672
1.300000e-01,1.200000e-01,1.400000e-01,1.944319e-01,1.926532e-04,1018551
1.500000e-01,1.400000e-01,1.600000e-01,1.893034e-01,1.900954e-04,991685
1.700000e-01,1.600000e-01,1.800000e-01,1.865159e-01,1.886906e-04,977082
1.900000e-01,1.800000e-01,2.000000e-01,1.854146e-01,1.881327e-04,971313
2.100000e-01,2.000000e-01,2.200000e-01,1.851376e-01,1.879922e-04,969862
2.300000e-01,2.200000e-01,2.400000e-01,1.862101e-01,1.885359e-04,975480
2.500000e-01,2.400000e-01,2.600000e-01,1.874348e-01,1.891549e-04,981896
2.700000e-01,2.600000e-01,2.800000e-01,1.891486e-01,1.900177e-04,990874
2.900000e-01,2.800000e-01,3.000000e-01,1.927488e-01,1.918175e-04,1009734
3.100000e-01,3.000000e-01,3.200000e-01,1.976927e-01,1.942619e-04,1035633
3.300000e-01,3.200000e-01,3.400000e-01,2.012015e-01,1.959783e-04,1054014
3.500000e-01,3.400000e-01,3.600000e-01,2.052270e-01,1.979291e-04,1075102
3.700000e-01,3.600000e-01,3.800000e-01,2.090742e-01,1.997757e-04,1095256
3.900000e-01,3.800000e-01,4.000000e-01,2.140868e-01,2.021563e-04,1121515
4.100000e-01,4.000000e-01,4.200000e-01,2.215269e-01,2.056391e-04,1160491
4.300000e-01,4.200000e-01,4.400000e-01,2.287705e-01,2.089741e-04,1198437
4.500000e-01,4.400000e-01,4.600000e-01,2.360751e-01,2.122841e-04,1236703
4.700000e-01,4.600000e-01,4.800000e-01,2.441295e-01,2.158751e-04,1278897
4.900000e-01,4.800000e-01,5.000000e-01,2.536118e-01,2.200276e-04,1328571
5.100000e-01,5.000000e-01,5.200000e-01,2.639600e-01,2.244716e-04,1382781
5.300000e-01,5.200000e-01,5.400000e-01,2.760211e-01,2.295427e-04,1445964
5.500000e-01,5.400000e-01,5.600000e-01,2.881367e-01,2.345264e-04,1509433
5.700000e-01,5.600000e-01,5.800000e-01,3.024906e-01,2.402970e-04,1584627
5.900000e-01,5.800000e-01,6.000000e-01,3.175152e-01,2.461924e-04,1663335
6.100000e-01,6.000000e-01,6.200000e-01,3.362484e-01,2.533509e-04,1761471
6.300000e-01,6.200000e-01,6.400000e-01,3.570420e-01,2.610670e-04,1870400
6.500000e-01,6.400000e-01,6.600000e-01,3.820918e-01,2.700699e-04,2001626
6.700000e-01,6.600000e-01,6.800000e-01,4.118688e-01,2.803960e-04,2157616
6.900000e-01,6.800000e-01,7.000000e-01,4.418969e-01,2.904376e-04,2314921
7.100000e-01,7.000000e-01,7.200000e-01,4.810165e-01,3.030207e-04,2519853
7.300000e-01,7.200000e-01,7.400000e-01,5.273350e-01,3.172749e-04,2762497
7.500000e-01,7.400000e-01,7.600000e-01,5.835872e-01,3.337684e-04,3057180
7.700000e-01,7.600000e-01,7.800000e-01,6.519541e-01,3.527775e-04,3415327
7.900000e-01,7.800000e-01,8.000000e-01,7.414498e-01,3.762125e-04,3884159
8.100000e-01,8.000000e-01,8.200000e-01,8.511583e-01,4.030859e-04,4458878
8.300000e-01,8.200000e-01,8.400000e-01,9.940917e-01,4.356178e-04,5207649
8.500000e-01,8.400000e-01,8.600000e-01,1.186677e+00,4.759471e-04,6216528
8.700000e-01,8.600000e-01,8.800000e-01,1.462095e+00,5.282995e-04,7659333
8.900000e-01,8.800000e-01,9.000000e-01,1.870946e+00,5.976170e-04,9801136
9.100000e-01,9.000000e-01,9.200000e-01,2.492727e+00,6.898104e-04,13058401
9.300000e-01,9.200000e-01,9.400000e-01,3.567416e+00,8.252191e-04,18688267
9.500000e-01,9.400000e-01,9.600000e-01,5.595791e+00,1.033530e-03,29314112
9.700000e-01,9.600000e-01,9.800000e-01,9.594434e+00,1.353325e-03,50261402
9.900000e-01,9.800000e-01,1.000000e+00,9.127050e+00,1.319950e-03,47812966
