statistic,value
mean_flux,0.8072258397051686
median_flux,0.9449392557144165
std_flux,0.28197830133598994
min_flux,2.9382650407717056e-39
max_flux,0.9998793005943298
mean_tau,1461.8256059723658
median_tau,0.05663459002971649
effective_tau,0.21415179892738453
deep_absorption_frac,0.062135337889756136
moderate_absorption_frac,0.08200069559590731
weak_absorption_frac,0.8558639665143366
tau_eff_err,0.0031820815565886964
tau_eff_std,0.3182081556588696
mean_flux_err,0.0007397438119557097
mean_flux_std,0.07397438119557097
n_sightlines,10000.0
tau_eff_obs_target,0.12714278068007295
mean_flux_target,0.8806079298214535
tau_scale_factor,0.41191396782892215
tau_eff_H_total,151.72442859446986
hi_fraction_eff,0.001411452333192921
