# T0 = 17592.20080207814 K
# gamma = 1.0431987144222437
# gamma_err = 0.048185916162391505
# T0_err = 5319.315605853886 K
# n_bins_fit = 29
# n_pixels = 94588549
log_density,log_temperature
6.296781e-02,3.904843e+00
-4.160698e-02,3.896020e+00
2.771838e-01,3.991843e+00
-4.390112e-01,3.756735e+00
-3.895437e-01,3.757899e+00
-3.071084e-01,3.940706e+00
1.032151e+00,4.383867e+00
6.627429e-02,3.951817e+00
-5.746654e-01,3.716627e+00
1.960791e-01,3.972045e+00
5.665433e-01,4.125250e+00
5.244832e-02,3.919049e+00
1.153363e+00,5.381047e+00
1.320792e-01,3.937167e+00
1.098210e+00,5.387655e+00
-3.856418e-02,3.870918e+00
-2.961409e-01,3.786012e+00
-1.658654e-05,3.896652e+00
-3.962891e-01,3.764762e+00
1.779745e-01,3.943176e+00
8.601766e-01,4.254526e+00
-3.198108e-01,3.800834e+00
1.331329e+00,4.709635e+00
-2.446157e-01,3.819265e+00
-3.501402e-02,3.874858e+00
-5.906337e-01,3.739402e+00
2.778024e-01,4.033999e+00
-4.879268e-01,3.737236e+00
-3.424360e-01,3.775614e+00
-5.566179e-01,3.715087e+00
-6.609341e-02,3.878109e+00
1.673848e-01,3.960919e+00
6.038729e-01,4.233895e+00
-2.727244e-01,3.811575e+00
5.141402e-03,3.988562e+00
-8.076881e-02,3.858814e+00
5.084901e-02,3.906203e+00
9.725496e-01,5.406610e+00
-5.035972e-01,3.717676e+00
-2.797471e-01,3.793289e+00
5.071778e-02,3.920303e+00
1.293086e-01,3.940325e+00
-1.532615e-01,3.830244e+00
-2.587166e-01,3.808318e+00
1.105079e-01,5.363334e+00
-3.351927e-01,3.795204e+00
-2.540116e-01,3.819758e+00
-2.454883e-01,3.804744e+00
-4.130408e-01,3.766520e+00
-2.859858e-01,3.797475e+00
-3.870893e-01,3.772481e+00
4.421661e-02,3.923261e+00
7.089110e-01,4.207409e+00
1.008476e-01,4.030118e+00
9.626568e-01,4.341058e+00
-3.120076e-01,3.786115e+00
6.539725e-02,3.927602e+00
-4.010611e-01,3.780244e+00
3.286230e-01,4.456962e+00
-2.002320e-01,3.829349e+00
2.542882e-01,3.993238e+00
1.413801e-01,3.932896e+00
6.451690e-01,4.170633e+00
9.137166e-01,4.303725e+00
1.391202e+00,4.900742e+00
1.383305e-02,3.897088e+00
-4.121286e-01,3.768163e+00
2.174601e+00,4.703127e+00
2.106445e-01,3.956050e+00
4.864660e-01,4.087899e+00
-9.207650e-02,4.673824e+00
-2.900621e-01,3.799452e+00
-8.885657e-02,3.880214e+00
1.706940e-01,3.958274e+00
-3.576214e-02,3.940370e+00
5.879491e-02,3.955710e+00
-1.413927e-01,3.845829e+00
-1.636081e-01,3.840621e+00
-2.161700e-01,3.821972e+00
-2.280081e-02,3.867961e+00
5.108913e-02,3.950822e+00
-1.002992e-01,3.860539e+00
3.125869e-01,4.021902e+00
-1.680209e-01,3.835201e+00
-1.940776e-01,3.825672e+00
2.494648e-01,3.983750e+00
-2.802731e-01,3.812417e+00
