k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,3.781810e+01,1.373118e+02,1.373118e+00,2.224473e+01,1.029241e+02,1.029241e+00
2.398801e-03,3.712532e+01,3.753407e+01,3.753407e-01,2.064743e+01,2.425611e+01,2.425611e-01
4.797602e-03,2.706284e+01,2.763402e+01,2.763402e-01,1.531158e+01,1.702237e+01,1.702237e-01
7.196402e-03,2.295800e+01,2.273336e+01,2.273336e-01,1.320542e+01,1.401103e+01,1.401103e-01
9.595203e-03,1.892473e+01,1.853370e+01,1.853370e-01,1.096688e+01,1.137256e+01,1.137256e-01
1.199400e-02,1.618998e+01,1.685045e+01,1.685045e-01,9.593610e+00,1.039503e+01,1.039503e-01
1.439280e-02,1.370438e+01,1.388633e+01,1.388633e-01,8.150937e+00,8.543116e+00,8.543116e-02
1.679161e-02,1.184042e+01,1.193004e+01,1.193004e-01,7.062330e+00,7.338839e+00,7.338839e-02
1.919041e-02,1.029587e+01,1.063032e+01,1.063032e-01,6.155785e+00,6.601955e+00,6.601955e-02
2.158921e-02,9.189358e+00,9.279706e+00,9.279706e-02,5.506992e+00,5.784582e+00,5.784582e-02
2.398801e-02,7.765903e+00,8.114287e+00,8.114287e-02,4.672909e+00,5.067859e+00,5.067859e-02
2.638681e-02,7.018322e+00,7.136565e+00,7.136565e-02,4.213282e+00,4.438451e+00,4.438451e-02
2.878561e-02,6.271574e+00,6.420583e+00,6.420583e-02,3.750368e+00,3.952549e+00,3.952549e-02
3.118441e-02,5.674208e+00,5.842912e+00,5.842912e-02,3.378530e+00,3.596754e+00,3.596754e-02
3.358321e-02,4.903859e+00,5.006293e+00,5.006293e-02,2.902555e+00,3.053505e+00,3.053505e-02
3.598201e-02,4.474024e+00,4.573032e+00,4.573032e-02,2.636908e+00,2.794490e+00,2.794490e-02
3.838081e-02,3.900199e+00,3.977677e+00,3.977677e-02,2.312931e+00,2.432395e+00,2.432395e-02
4.077961e-02,3.550959e+00,3.666325e+00,3.666325e-02,2.074126e+00,2.155755e+00,2.155755e-02
4.317841e-02,3.183891e+00,3.261191e+00,3.261191e-02,1.870183e+00,1.977549e+00,1.977549e-02
4.557721e-02,2.880454e+00,2.965775e+00,2.965775e-02,1.674330e+00,1.780712e+00,1.780712e-02
4.797602e-02,2.565389e+00,2.649856e+00,2.649856e-02,1.491264e+00,1.579290e+00,1.579290e-02
5.037482e-02,2.325338e+00,2.395620e+00,2.395620e-02,1.350321e+00,1.417661e+00,1.417661e-02
5.277362e-02,2.068721e+00,2.079623e+00,2.079623e-02,1.195566e+00,1.236650e+00,1.236650e-02
5.517242e-02,1.857375e+00,1.955925e+00,1.955925e-02,1.062805e+00,1.119368e+00,1.119368e-02
