# n_pixels = 235020000
# n_pixels_in_grid = 234152790
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 7.722704e-04
# frac_tau_overflow = 2.917671e-03
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,1.014025e-02,2.279635e-05,197864
-2.875000e+00,-2.916667e+00,-2.833333e+00,2.036496e-02,3.230597e-05,397376
-2.791667e+00,-2.833333e+00,-2.750000e+00,3.775709e-02,4.398861e-05,736744
-2.708333e+00,-2.750000e+00,-2.666667e+00,6.527133e-02,5.783652e-05,1273622
-2.625000e+00,-2.666667e+00,-2.583333e+00,1.043279e-01,7.312085e-05,2035723
-2.541667e+00,-2.583333e+00,-2.500000e+00,1.543316e-01,8.893413e-05,3011432
-2.458333e+00,-2.500000e+00,-2.416667e+00,2.158852e-01,1.051847e-04,4212510
-2.375000e+00,-2.416667e+00,-2.333333e+00,2.854389e-01,1.209477e-04,5569692
-2.291667e+00,-2.333333e+00,-2.250000e+00,3.561087e-01,1.350928e-04,6948653
-2.208333e+00,-2.250000e+00,-2.166667e+00,4.220087e-01,1.470624e-04,8234543
-2.125000e+00,-2.166667e+00,-2.083333e+00,4.800647e-01,1.568523e-04,9367375
-2.041667e+00,-2.083333e+00,-2.000000e+00,5.267537e-01,1.643027e-04,10278404
-1.958333e+00,-2.000000e+00,-1.916667e+00,5.564006e-01,1.688631e-04,10856896
-1.875000e+00,-1.916667e+00,-1.833333e+00,5.680499e-01,1.706217e-04,11084205
-1.791667e+00,-1.833333e+00,-1.750000e+00,5.703530e-01,1.709672e-04,11129145
-1.708333e+00,-1.750000e+00,-1.666667e+00,5.580509e-01,1.691133e-04,10889097
-1.625000e+00,-1.666667e+00,-1.583333e+00,5.354498e-01,1.656534e-04,10448088
-1.541667e+00,-1.583333e+00,-1.500000e+00,5.067362e-01,1.611506e-04,9887807
-1.458333e+00,-1.500000e+00,-1.416667e+00,4.796251e-01,1.567804e-04,9358796
-1.375000e+00,-1.416667e+00,-1.333333e+00,4.461396e-01,1.512085e-04,8705402
-1.291667e+00,-1.333333e+00,-1.250000e+00,4.123928e-01,1.453773e-04,8046911
-1.208333e+00,-1.250000e+00,-1.166667e+00,3.826228e-01,1.400317e-04,7466017
-1.125000e+00,-1.166667e+00,-1.083333e+00,3.535545e-01,1.346075e-04,6898815
-1.041667e+00,-1.083333e+00,-1.000000e+00,3.260453e-01,1.292647e-04,6362034
-9.583333e-01,-1.000000e+00,-9.166667e-01,3.018915e-01,1.243845e-04,5890728
-8.750000e-01,-9.166667e-01,-8.333333e-01,2.824983e-01,1.203231e-04,5512313
-7.916667e-01,-8.333333e-01,-7.500000e-01,2.668942e-01,1.169528e-04,5207836
-7.083333e-01,-7.500000e-01,-6.666667e-01,2.510656e-01,1.134317e-04,4898976
-6.250000e-01,-6.666667e-01,-5.833333e-01,2.359927e-01,1.099740e-04,4604862
-5.416667e-01,-5.833333e-01,-5.000000e-01,2.246259e-01,1.072929e-04,4383065
-4.583333e-01,-5.000000e-01,-4.166667e-01,2.137527e-01,1.046639e-04,4170899
-3.750000e-01,-4.166667e-01,-3.333333e-01,2.013852e-01,1.015909e-04,3929575
-2.916667e-01,-3.333333e-01,-2.500000e-01,1.889681e-01,9.840909e-05,3687284
-2.083333e-01,-2.500000e-01,-1.666667e-01,1.750180e-01,9.470706e-05,3415080
-1.250000e-01,-1.666667e-01,-8.333333e-02,1.615192e-01,9.098149e-05,3151681
-4.166667e-02,-8.333333e-02,0.000000e+00,1.490136e-01,8.738842e-05,2907662
4.166667e-02,0.000000e+00,8.333333e-02,1.353790e-01,8.329457e-05,2641615
1.250000e-01,8.333333e-02,1.666667e-01,1.218577e-01,7.902552e-05,2377776
2.083333e-01,1.666667e-01,2.500000e-01,1.091513e-01,7.479204e-05,2129840
2.916667e-01,2.500000e-01,3.333333e-01,9.520250e-02,6.984980e-05,1857661
3.750000e-01,3.333333e-01,4.166667e-01,8.254072e-02,6.503918e-05,1610595
4.583333e-01,4.166667e-01,5.000000e-01,7.115006e-02,6.038493e-05,1388332
5.416667e-01,5.000000e-01,5.833333e-01,6.097045e-02,5.589856e-05,1189700
6.250000e-01,5.833333e-01,6.666667e-01,5.215656e-02,5.170058e-05,1017717
7.083333e-01,6.666667e-01,7.500000e-01,4.364683e-02,4.729523e-05,851669
7.916667e-01,7.500000e-01,8.333333e-01,3.652789e-02,4.326665e-05,712759
8.750000e-01,8.333333e-01,9.166667e-01,3.034747e-02,3.943685e-05,592162
9.583333e-01,9.166667e-01,1.000000e+00,2.514881e-02,3.590043e-05,490722
1.041667e+00,1.000000e+00,1.083333e+00,2.004235e-02,3.204906e-05,391081
1.125000e+00,1.083333e+00,1.166667e+00,1.717140e-02,2.966497e-05,335061
1.208333e+00,1.166667e+00,1.250000e+00,1.400024e-02,2.678605e-05,273183
1.291667e+00,1.250000e+00,1.333333e+00,1.129340e-02,2.405765e-05,220365
1.375000e+00,1.333333e+00,1.416667e+00,9.578515e-03,2.215593e-05,186903
1.458333e+00,1.416667e+00,1.500000e+00,8.012204e-03,2.026362e-05,156340
1.541667e+00,1.500000e+00,1.583333e+00,6.782546e-03,1.864392e-05,132346
1.625000e+00,1.583333e+00,1.666667e+00,5.796062e-03,1.723485e-05,113097
1.708333e+00,1.666667e+00,1.750000e+00,5.110765e-03,1.618393e-05,99725
1.791667e+00,1.750000e+00,1.833333e+00,4.394259e-03,1.500665e-05,85744
1.875000e+00,1.833333e+00,1.916667e+00,3.904374e-03,1.414545e-05,76185
1.958333e+00,1.916667e+00,2.000000e+00,3.336283e-03,1.307592e-05,65100
