# n_pixels = 249990000
# n_pixels_in_grid = 164236119
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 1.855274e-05
# frac_tau_underflow = 3.426698e-01
# frac_tau_overflow = 3.409216e-04
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,8.910062e-01,2.551506e-04,12194617
-2.875000e+00,-2.916667e+00,-2.833333e+00,8.777855e-01,2.532506e-04,12013673
-2.791667e+00,-2.833333e+00,-2.750000e+00,8.509983e-01,2.493565e-04,11647055
-2.708333e+00,-2.750000e+00,-2.666667e+00,8.100605e-01,2.432848e-04,11086766
-2.625000e+00,-2.666667e+00,-2.583333e+00,7.602573e-01,2.356875e-04,10405143
-2.541667e+00,-2.583333e+00,-2.500000e+00,7.037447e-01,2.267587e-04,9631692
-2.458333e+00,-2.500000e+00,-2.416667e+00,6.466605e-01,2.173674e-04,8850418
-2.375000e+00,-2.416667e+00,-2.333333e+00,5.900921e-01,2.076425e-04,8076203
-2.291667e+00,-2.333333e+00,-2.250000e+00,5.372710e-01,1.981312e-04,7353275
-2.208333e+00,-2.250000e+00,-2.166667e+00,4.897557e-01,1.891673e-04,6702964
-2.125000e+00,-2.166667e+00,-2.083333e+00,4.427097e-01,1.798522e-04,6059077
-2.041667e+00,-2.083333e+00,-2.000000e+00,4.000714e-01,1.709720e-04,5475514
-1.958333e+00,-2.000000e+00,-1.916667e+00,3.653953e-01,1.633946e-04,5000926
-1.875000e+00,-1.916667e+00,-1.833333e+00,3.324643e-01,1.558579e-04,4550221
-1.791667e+00,-1.833333e+00,-1.750000e+00,3.024503e-01,1.486563e-04,4139438
-1.708333e+00,-1.750000e+00,-1.666667e+00,2.768630e-01,1.422292e-04,3789242
-1.625000e+00,-1.666667e+00,-1.583333e+00,2.562363e-01,1.368285e-04,3506938
-1.541667e+00,-1.583333e+00,-1.500000e+00,2.374275e-01,1.317109e-04,3249514
-1.458333e+00,-1.500000e+00,-1.416667e+00,2.200236e-01,1.267917e-04,3011318
-1.375000e+00,-1.416667e+00,-1.333333e+00,2.047443e-01,1.223101e-04,2802201
-1.291667e+00,-1.333333e+00,-1.250000e+00,1.915559e-01,1.183053e-04,2621700
-1.208333e+00,-1.250000e+00,-1.166667e+00,1.770299e-01,1.137312e-04,2422892
-1.125000e+00,-1.166667e+00,-1.083333e+00,1.623466e-01,1.089125e-04,2221931
-1.041667e+00,-1.083333e+00,-1.000000e+00,1.511379e-01,1.050855e-04,2068525
-9.583333e-01,-1.000000e+00,-9.166667e-01,1.376214e-01,1.002765e-04,1883534
-8.750000e-01,-9.166667e-01,-8.333333e-01,1.244129e-01,9.534305e-05,1702758
-7.916667e-01,-8.333333e-01,-7.500000e-01,1.125144e-01,9.066933e-05,1539911
-7.083333e-01,-7.500000e-01,-6.666667e-01,1.014755e-01,8.610667e-05,1388828
-6.250000e-01,-6.666667e-01,-5.833333e-01,9.179457e-02,8.189639e-05,1256332
-5.416667e-01,-5.833333e-01,-5.000000e-01,8.004841e-02,7.647732e-05,1095570
-4.583333e-01,-5.000000e-01,-4.166667e-01,7.057444e-02,7.180919e-05,965906
-3.750000e-01,-4.166667e-01,-3.333333e-01,6.232571e-02,6.748230e-05,853011
-2.916667e-01,-3.333333e-01,-2.500000e-01,5.505766e-02,6.342568e-05,753538
-2.083333e-01,-2.500000e-01,-1.666667e-01,4.862921e-02,5.960804e-05,665556
-1.250000e-01,-1.666667e-01,-8.333333e-02,4.166628e-02,5.517580e-05,570259
-4.166667e-02,-8.333333e-02,0.000000e+00,3.640899e-02,5.157754e-05,498306
4.166667e-02,0.000000e+00,8.333333e-02,3.102282e-02,4.760986e-05,424589
1.250000e-01,8.333333e-02,1.666667e-01,2.621124e-02,4.376229e-05,358736
2.083333e-01,1.666667e-01,2.500000e-01,2.184988e-02,3.995589e-05,299045
2.916667e-01,2.500000e-01,3.333333e-01,1.796243e-02,3.622754e-05,245840
3.750000e-01,3.333333e-01,4.166667e-01,1.394375e-02,3.191877e-05,190839
4.583333e-01,4.166667e-01,5.000000e-01,1.082583e-02,2.812463e-05,148166
5.416667e-01,5.000000e-01,5.833333e-01,7.763505e-03,2.381690e-05,106254
6.250000e-01,5.833333e-01,6.666667e-01,6.161178e-03,2.121720e-05,84324
7.083333e-01,6.666667e-01,7.500000e-01,4.902478e-03,1.892623e-05,67097
7.916667e-01,7.500000e-01,8.333333e-01,3.609072e-03,1.623881e-05,49395
8.750000e-01,8.333333e-01,9.166667e-01,2.876663e-03,1.449776e-05,39371
9.583333e-01,9.166667e-01,1.000000e+00,2.286805e-03,1.292620e-05,31298
1.041667e+00,1.000000e+00,1.083333e+00,1.757957e-03,1.133340e-05,24060
