# n_sightlines = 10000
# X = 1.333354e-01 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 1.333354e-01
# redshift = 2.998646
# n_absorbers = 550000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.808530
# beta_fit_err = 0.028694
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,1.083720e-11,84516,3.727757e-14,2.000000e-01,1.292447e+13
1.331141e+01,6.935949e-12,85729,2.368874e-14,2.000000e-01,2.048390e+13
1.351141e+01,3.797353e-12,74388,1.392290e-14,2.000000e-01,3.246479e+13
1.371141e+01,1.862038e-12,57811,7.744321e-15,2.000000e-01,5.145323e+13
1.391141e+01,8.560872e-13,42125,4.171076e-15,2.000000e-01,8.154787e+13
1.411141e+01,3.773196e-13,29426,2.199600e-15,2.000000e-01,1.292447e+14
1.431141e+01,1.657997e-13,20493,1.158193e-15,2.000000e-01,2.048390e+14
1.451141e+01,7.043593e-14,13798,5.996339e-16,2.000000e-01,3.246479e+14
1.471141e+01,2.836652e-14,8807,3.022680e-16,2.000000e-01,5.145323e+14
1.491141e+01,1.129527e-14,5558,1.515086e-16,2.000000e-01,8.154787e+14
1.511141e+01,4.428947e-15,3454,7.535972e-17,2.000000e-01,1.292447e+15
1.531141e+01,1.686071e-15,2084,3.693405e-17,2.000000e-01,2.048390e+15
1.551141e+01,6.661755e-16,1305,1.844095e-17,2.000000e-01,3.246479e+15
1.571141e+01,3.043757e-16,945,9.901341e-18,2.000000e-01,5.145323e+15
1.591141e+01,1.233579e-16,607,5.006941e-18,2.000000e-01,8.154787e+15
1.611141e+01,6.090763e-17,475,2.794634e-18,2.000000e-01,1.292447e+16
1.631141e+01,2.847874e-17,352,1.517922e-18,2.000000e-01,2.048390e+16
1.651141e+01,1.567171e-17,307,8.944319e-19,2.000000e-01,3.246479e+16
1.671141e+01,8.084475e-18,251,5.102876e-19,2.000000e-01,5.145323e+16
1.691141e+01,3.719026e-18,183,2.749183e-19,2.000000e-01,8.154787e+16
1.711141e+01,2.038803e-18,159,1.616876e-19,2.000000e-01,1.292447e+17
1.731141e+01,8.333268e-19,103,8.211013e-20,2.000000e-01,2.048390e+17
1.751141e+01,4.339074e-19,85,4.706386e-20,2.000000e-01,3.246479e+17
1.771141e+01,2.125798e-19,66,2.616677e-20,2.000000e-01,5.145323e+17
1.791141e+01,1.341288e-19,66,1.651011e-20,2.000000e-01,8.154787e+17
1.811141e+01,6.924236e-20,54,9.422692e-21,2.000000e-01,1.292447e+18
1.831141e+01,3.074409e-20,38,4.987351e-21,2.000000e-01,2.048390e+18
1.851141e+01,1.939821e-20,38,3.146806e-21,2.000000e-01,3.246479e+18
1.871141e+01,1.062899e-20,33,1.850270e-21,2.000000e-01,5.145323e+18
1.891141e+01,6.706440e-21,33,1.167441e-21,2.000000e-01,8.154787e+18
1.911141e+01,4.231478e-21,33,7.366057e-22,2.000000e-01,1.292447e+19
1.931141e+01,1.941732e-21,24,3.963544e-22,2.000000e-01,2.048390e+19
1.951141e+01,8.678148e-22,17,2.104760e-22,2.000000e-01,3.246479e+19
1.971141e+01,7.730176e-22,24,1.577915e-22,2.000000e-01,5.145323e+19
1.991141e+01,4.877411e-22,24,9.955974e-23,2.000000e-01,8.154787e+19
2.011141e+01,1.923399e-22,15,4.966195e-23,2.000000e-01,1.292447e+20
2.031141e+01,1.537205e-22,19,3.526590e-23,2.000000e-01,2.048390e+20
2.051141e+01,6.636231e-23,13,1.840559e-23,2.000000e-01,3.246479e+20
2.071141e+01,2.576725e-23,8,9.110099e-24,2.000000e-01,5.145323e+20
2.091141e+01,2.438706e-23,12,7.039936e-24,2.000000e-01,8.154787e+20
2.111141e+01,3.846798e-24,3,2.220950e-24,2.000000e-01,1.292447e+21
2.131141e+01,2.427165e-24,3,1.401325e-24,2.000000e-01,2.048390e+21
2.151141e+01,5.104793e-25,1,5.104793e-25,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
