# n_pixels = 294050000
# n_pixels_in_grid = 289378719
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 0.000000e+00
# frac_tau_overflow = 1.588601e-02
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,0.000000e+00,0.000000e+00,0
-2.875000e+00,-2.916667e+00,-2.833333e+00,0.000000e+00,0.000000e+00,0
-2.791667e+00,-2.833333e+00,-2.750000e+00,0.000000e+00,0.000000e+00,0
-2.708333e+00,-2.750000e+00,-2.666667e+00,0.000000e+00,0.000000e+00,0
-2.625000e+00,-2.666667e+00,-2.583333e+00,0.000000e+00,0.000000e+00,0
-2.541667e+00,-2.583333e+00,-2.500000e+00,0.000000e+00,0.000000e+00,0
-2.458333e+00,-2.500000e+00,-2.416667e+00,0.000000e+00,0.000000e+00,0
-2.375000e+00,-2.416667e+00,-2.333333e+00,0.000000e+00,0.000000e+00,0
-2.291667e+00,-2.333333e+00,-2.250000e+00,0.000000e+00,0.000000e+00,0
-2.208333e+00,-2.250000e+00,-2.166667e+00,0.000000e+00,0.000000e+00,0
-2.125000e+00,-2.166667e+00,-2.083333e+00,2.031939e-06,2.902770e-07,49
-2.041667e+00,-2.083333e+00,-2.000000e+00,2.197812e-06,3.018927e-07,53
-1.958333e+00,-2.000000e+00,-1.916667e+00,3.980942e-06,4.063032e-07,96
-1.875000e+00,-1.916667e+00,-1.833333e+00,7.505735e-06,5.578969e-07,181
-1.791667e+00,-1.833333e+00,-1.750000e+00,1.094759e-05,6.737777e-07,264
-1.708333e+00,-1.750000e+00,-1.666667e+00,4.826893e-05,1.414787e-06,1164
-1.625000e+00,-1.666667e+00,-1.583333e+00,1.410746e-04,2.418699e-06,3402
-1.541667e+00,-1.583333e+00,-1.500000e+00,3.934083e-04,4.039049e-06,9487
-1.458333e+00,-1.500000e+00,-1.416667e+00,1.121796e-03,6.820471e-06,27052
-1.375000e+00,-1.416667e+00,-1.333333e+00,3.241856e-03,1.159456e-05,78177
-1.291667e+00,-1.333333e+00,-1.250000e+00,8.430931e-03,1.869800e-05,203311
-1.208333e+00,-1.250000e+00,-1.166667e+00,1.871354e-02,2.785706e-05,451275
-1.125000e+00,-1.166667e+00,-1.083333e+00,4.049282e-02,4.097758e-05,976480
