# n_pixels = 278760000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,6.330453e+00,1.065583e-03,35293540
3.000000e-02,2.000000e-02,4.000000e-02,8.888341e-01,3.992824e-04,4955428
5.000000e-02,4.000000e-02,6.000000e-02,6.582625e-01,3.436128e-04,3669945
7.000000e-02,6.000000e-02,8.000000e-02,5.519849e-01,3.146541e-04,3077426
9.000000e-02,8.000000e-02,1.000000e-01,4.927308e-01,2.972861e-04,2747073
1.100000e-01,1.000000e-01,1.200000e-01,4.535789e-01,2.852306e-04,2528793
1.300000e-01,1.200000e-01,1.400000e-01,4.309069e-01,2.780107e-04,2402392
1.500000e-01,1.400000e-01,1.600000e-01,4.139706e-01,2.724925e-04,2307969
1.700000e-01,1.600000e-01,1.800000e-01,4.053212e-01,2.696308e-04,2259747
1.900000e-01,1.800000e-01,2.000000e-01,3.982006e-01,2.672519e-04,2220048
2.100000e-01,2.000000e-01,2.200000e-01,3.958654e-01,2.664671e-04,2207029
2.300000e-01,2.200000e-01,2.400000e-01,3.970381e-01,2.668615e-04,2213567
2.500000e-01,2.400000e-01,2.600000e-01,3.980786e-01,2.672109e-04,2219368
2.700000e-01,2.600000e-01,2.800000e-01,4.018189e-01,2.684633e-04,2240221
2.900000e-01,2.800000e-01,3.000000e-01,4.075893e-01,2.703841e-04,2272392
3.100000e-01,3.000000e-01,3.200000e-01,4.138011e-01,2.724367e-04,2307024
3.300000e-01,3.200000e-01,3.400000e-01,4.224256e-01,2.752611e-04,2355107
3.500000e-01,3.400000e-01,3.600000e-01,4.322412e-01,2.784408e-04,2409831
3.700000e-01,3.600000e-01,3.800000e-01,4.456751e-01,2.827346e-04,2484728
3.900000e-01,3.800000e-01,4.000000e-01,4.609930e-01,2.875524e-04,2570128
4.100000e-01,4.000000e-01,4.200000e-01,4.773617e-01,2.926130e-04,2661387
4.300000e-01,4.200000e-01,4.400000e-01,4.952109e-01,2.980334e-04,2760900
4.500000e-01,4.400000e-01,4.600000e-01,5.168161e-01,3.044653e-04,2881353
4.700000e-01,4.600000e-01,4.800000e-01,5.396422e-01,3.111163e-04,3008613
4.900000e-01,4.800000e-01,5.000000e-01,5.664961e-01,3.187632e-04,3158329
5.100000e-01,5.000000e-01,5.200000e-01,5.947155e-01,3.266062e-04,3315658
5.300000e-01,5.200000e-01,5.400000e-01,6.206767e-01,3.336587e-04,3460397
5.500000e-01,5.400000e-01,5.600000e-01,6.568356e-01,3.432402e-04,3661990
5.700000e-01,5.600000e-01,5.800000e-01,6.945381e-01,3.529538e-04,3872189
5.900000e-01,5.800000e-01,6.000000e-01,7.379016e-01,3.638053e-04,4113949
6.100000e-01,6.000000e-01,6.200000e-01,7.865174e-01,3.755986e-04,4384992
6.300000e-01,6.200000e-01,6.400000e-01,8.419002e-01,3.885976e-04,4693762
6.500000e-01,6.400000e-01,6.600000e-01,9.038262e-01,4.026357e-04,5039012
6.700000e-01,6.600000e-01,6.800000e-01,9.718685e-01,4.175164e-04,5418361
6.900000e-01,6.800000e-01,7.000000e-01,1.049896e+00,4.339531e-04,5853378
7.100000e-01,7.000000e-01,7.200000e-01,1.136705e+00,4.515373e-04,6337356
7.300000e-01,7.200000e-01,7.400000e-01,1.233847e+00,4.704359e-04,6878945
7.500000e-01,7.400000e-01,7.600000e-01,1.342823e+00,4.907712e-04,7486505
7.700000e-01,7.600000e-01,7.800000e-01,1.463027e+00,5.122665e-04,8156669
7.900000e-01,7.800000e-01,8.000000e-01,1.609018e+00,5.372176e-04,8970599
8.100000e-01,8.000000e-01,8.200000e-01,1.770429e+00,5.635195e-04,9870493
8.300000e-01,8.200000e-01,8.400000e-01,1.932720e+00,5.887816e-04,10775301
8.500000e-01,8.400000e-01,8.600000e-01,2.114580e+00,6.158597e-04,11789205
8.700000e-01,8.600000e-01,8.800000e-01,2.283768e+00,6.400233e-04,12732463
8.900000e-01,8.800000e-01,9.000000e-01,2.406589e+00,6.570082e-04,13417217
9.100000e-01,9.000000e-01,9.200000e-01,2.438551e+00,6.613566e-04,13595410
9.300000e-01,9.200000e-01,9.400000e-01,2.245113e+00,6.345836e-04,12516954
9.500000e-01,9.400000e-01,9.600000e-01,1.673997e+00,5.479578e-04,9332868
9.700000e-01,9.600000e-01,9.800000e-01,6.550696e-01,3.427784e-04,3652144
9.900000e-01,9.800000e-01,1.000000e+00,3.979140e-02,8.448204e-05,221845
