N_HI,b_param_km_s
4.111359e+13,1.700000e+01
1.624214e+14,8.000000e+01
1.173642e+13,7.899024e+01
2.211741e+13,4.999380e+00
2.043558e+19,8.000000e+01
3.630612e+13,3.399312e+01
6.588324e+14,7.068888e+01
3.368589e+15,8.000000e+01
1.649844e+14,4.660541e+01
1.755931e+13,7.899147e+01
8.634510e+13,4.162056e+01
3.745040e+14,5.627484e+01
1.684246e+15,8.000000e+01
2.400567e+13,4.997132e+00
1.121662e+13,1.900206e+01
6.746604e+13,6.726555e+01
6.746604e+13,6.726555e+01
2.401175e+14,5.104974e+01
1.015602e+14,8.000000e+01
1.015602e+14,4.999987e+00
1.015602e+14,5.000003e+00
4.800182e+13,4.047944e+01
1.887435e+13,7.898896e+01
8.200159e+13,5.387249e+01
1.045515e+13,7.899863e+01
1.319702e+14,4.408296e+01
8.275816e+13,7.363175e+01
2.811900e+13,7.897991e+01
1.525273e+14,8.000000e+01
1.651591e+14,8.000000e+01
1.651591e+14,8.000000e+01
9.966147e+12,7.899833e+01
8.478380e+12,7.898309e+01
1.404900e+13,7.898166e+01
1.232276e+13,7.897378e+01
2.406197e+13,7.898181e+01
1.908250e+13,7.899128e+01
1.213615e+13,7.897443e+01
8.772393e+14,8.000000e+01
2.405374e+13,7.899521e+01
5.581983e+13,7.899148e+01
2.263073e+13,7.899793e+01
1.919848e+19,8.000000e+01
1.919848e+19,8.000000e+01
1.919848e+19,8.000000e+01
1.919848e+19,8.000000e+01
2.077908e+13,7.899856e+01
1.098479e+14,4.882758e+01
3.131667e+13,7.899404e+01
1.117043e+14,8.000000e+01
6.224406e+13,4.690571e+01
1.238624e+13,7.898427e+01
1.435022e+13,7.898445e+01
6.233016e+13,5.543402e+01
1.038542e+13,7.899759e+01
1.771898e+13,4.999482e+00
2.933324e+13,2.642575e+01
3.653465e+13,2.996920e+01
1.541098e+14,8.000000e+01
7.324068e+13,4.486372e+01
1.092719e+14,6.414250e+01
1.092719e+14,6.414250e+01
2.025670e+13,7.898122e+01
2.883668e+13,7.899774e+01
1.346625e+13,7.898902e+01
2.376428e+13,7.899820e+01
3.904910e+13,3.044967e+01
1.580338e+15,8.000000e+01
2.755207e+13,2.738669e+01
1.979550e+14,8.000000e+01
1.979550e+14,8.000000e+01
1.979550e+14,8.000000e+01
4.976402e+14,5.807659e+01
1.634816e+13,7.899865e+01
3.184315e+13,7.899476e+01
4.980533e+14,8.000000e+01
4.980533e+14,8.000000e+01
1.634369e+13,2.300001e+01
1.183730e+13,7.899325e+01
3.707040e+14,8.000000e+01
1.396205e+14,6.288127e+01
8.127362e+13,3.447359e+01
7.278992e+17,8.000000e+01
7.278992e+17,8.000000e+01
1.908404e+13,7.899288e+01
6.121717e+13,4.918793e+01
2.697473e+13,7.898626e+01
1.315386e+13,7.899476e+01
4.650315e+13,4.047944e+01
3.163959e+13,4.999744e+00
5.050571e+13,4.999951e+00
3.404951e+13,7.899828e+01
6.115287e+14,8.000000e+01
6.115287e+14,8.000000e+01
