k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,8.411632e+00,7.876623e+01,7.876623e-01
2.887885e-03,4.578105e+00,9.164157e+00,9.164157e-02
5.775771e-03,3.746262e+00,5.879476e+00,5.879476e-02
8.663656e-03,3.219768e+00,4.815483e+00,4.815483e-02
1.155154e-02,2.677296e+00,3.996243e+00,3.996243e-02
1.443943e-02,2.293269e+00,3.164068e+00,3.164068e-02
1.732731e-02,1.989864e+00,2.771565e+00,2.771565e-02
2.021520e-02,1.656069e+00,2.192612e+00,2.192612e-02
2.310308e-02,1.442372e+00,1.909131e+00,1.909131e-02
2.599097e-02,1.228466e+00,1.572750e+00,1.572750e-02
2.887885e-02,1.064403e+00,1.369266e+00,1.369266e-02
3.176674e-02,9.232914e-01,1.160764e+00,1.160764e-02
3.465462e-02,7.985332e-01,9.875226e-01,9.875226e-03
3.754251e-02,6.715175e-01,8.411218e-01,8.411218e-03
4.043039e-02,5.832821e-01,7.263801e-01,7.263801e-03
4.331828e-02,5.056993e-01,6.486802e-01,6.486802e-03
4.620616e-02,4.362155e-01,5.434428e-01,5.434428e-03
4.909405e-02,3.774142e-01,4.648122e-01,4.648122e-03
5.198193e-02,3.355147e-01,4.147991e-01,4.147991e-03
5.486982e-02,2.882836e-01,3.522653e-01,3.522653e-03
5.775771e-02,2.553553e-01,3.076955e-01,3.076955e-03
6.064559e-02,2.229102e-01,2.697182e-01,2.697182e-03
6.353348e-02,1.964453e-01,2.405722e-01,2.405722e-03
6.642136e-02,1.692933e-01,2.052805e-01,2.052805e-03
6.930925e-02,1.507245e-01,1.844711e-01,1.844711e-03
7.219713e-02,1.329773e-01,1.594760e-01,1.594760e-03
7.508502e-02,1.167189e-01,1.392182e-01,1.392182e-03
7.797290e-02,1.036042e-01,1.255509e-01,1.255509e-03
8.086079e-02,9.224614e-02,1.126836e-01,1.126836e-03
8.374867e-02,7.942000e-02,9.281906e-02,9.281906e-04
8.663656e-02,7.058276e-02,8.575906e-02,8.575906e-04
8.952444e-02,6.283483e-02,7.530491e-02,7.530491e-04
9.241233e-02,5.567469e-02,6.752432e-02,6.752432e-04
9.530021e-02,4.889893e-02,5.916467e-02,5.916467e-04
9.818810e-02,4.309837e-02,5.150838e-02,5.150838e-04
1.010760e-01,3.861144e-02,4.661347e-02,4.661347e-04
1.039639e-01,3.394284e-02,4.099268e-02,4.099268e-04
1.068518e-01,3.036928e-02,3.669285e-02,3.669285e-04
1.097396e-01,2.658973e-02,3.234220e-02,3.234220e-04
1.126275e-01,2.364960e-02,2.857837e-02,2.857837e-04
1.155154e-01,2.101539e-02,2.585621e-02,2.585621e-04
1.184033e-01,1.837940e-02,2.222808e-02,2.222808e-04
1.212912e-01,1.615286e-02,1.934092e-02,1.934092e-04
1.241791e-01,1.477618e-02,1.864859e-02,1.864859e-04
1.270670e-01,1.255546e-02,1.496597e-02,1.496597e-04
1.299548e-01,1.133929e-02,1.407151e-02,1.407151e-04
1.328427e-01,9.997450e-03,1.228345e-02,1.228345e-04
1.357306e-01,8.849702e-03,1.100407e-02,1.100407e-04
1.386185e-01,7.847755e-03,9.786570e-03,9.786570e-05
1.415064e-01,7.049392e-03,8.766226e-03,8.766226e-05
1.443943e-01,6.150217e-03,7.673498e-03,7.673498e-05
1.472821e-01,5.489633e-03,6.747723e-03,6.747723e-05
1.501700e-01,4.779823e-03,6.021832e-03,6.021832e-05
1.530579e-01,4.370663e-03,5.562737e-03,5.562737e-05
1.559458e-01,3.749076e-03,4.626236e-03,4.626236e-05
1.588337e-01,3.368449e-03,4.212506e-03,4.212506e-05
1.617216e-01,3.024869e-03,3.925314e-03,3.925314e-05
1.646095e-01,2.596301e-03,3.288424e-03,3.288424e-05
1.674973e-01,2.371591e-03,3.055077e-03,3.055077e-05
1.703852e-01,2.104962e-03,2.781395e-03,2.781395e-05
1.732731e-01,1.837806e-03,2.433015e-03,2.433015e-05
1.761610e-01,1.655590e-03,2.254310e-03,2.254310e-05
1.790489e-01,1.450235e-03,1.945280e-03,1.945280e-05
1.819368e-01,1.326733e-03,1.802926e-03,1.802926e-05
1.848247e-01,1.164221e-03,1.610548e-03,1.610548e-05
1.877125e-01,9.989317e-04,1.368401e-03,1.368401e-05
1.906004e-01,9.022632e-04,1.221676e-03,1.221676e-05
1.934883e-01,8.143170e-04,1.119585e-03,1.119585e-05
1.963762e-01,7.338164e-04,1.042697e-03,1.042697e-05
1.992641e-01,6.471871e-04,9.220073e-04,9.220073e-06
2.021520e-01,5.710994e-04,8.337862e-04,8.337862e-06
2.050399e-01,5.193322e-04,7.805203e-04,7.805203e-06
2.079277e-01,4.554075e-04,6.920428e-04,6.920428e-06
2.108156e-01,4.046558e-04,6.305253e-04,6.305253e-06
2.137035e-01,3.594148e-04,5.976205e-04,5.976205e-06
2.165914e-01,3.231440e-04,5.298477e-04,5.298477e-06
2.194793e-01,2.879296e-04,4.907189e-04,4.907189e-06
2.223672e-01,2.587165e-04,4.414773e-04,4.414773e-06
2.252551e-01,2.283115e-04,3.990813e-04,3.990813e-06
2.281429e-01,2.034474e-04,3.779680e-04,3.779680e-06
2.310308e-01,1.804867e-04,3.360970e-04,3.360970e-06
2.339187e-01,1.600840e-04,3.036774e-04,3.036774e-06
2.368066e-01,1.425519e-04,2.921021e-04,2.921021e-06
2.396945e-01,1.278016e-04,2.666481e-04,2.666481e-06
2.425824e-01,1.152958e-04,2.531834e-04,2.531834e-06
2.454702e-01,1.036845e-04,2.265545e-04,2.265545e-06
2.483581e-01,9.421349e-05,2.148877e-04,2.148877e-06
2.512460e-01,8.272967e-05,1.927113e-04,1.927113e-06
2.541339e-01,7.414159e-05,1.822670e-04,1.822670e-06
2.570218e-01,6.600336e-05,1.587146e-04,1.587146e-06
2.599097e-01,5.948041e-05,1.484714e-04,1.484714e-06
2.627976e-01,5.361321e-05,1.468273e-04,1.468273e-06
2.656854e-01,4.882382e-05,1.389887e-04,1.389887e-06
2.685733e-01,4.380073e-05,1.236097e-04,1.236097e-06
2.714612e-01,4.045197e-05,1.275230e-04,1.275230e-06
2.743491e-01,3.762245e-05,1.234572e-04,1.234572e-06
2.772370e-01,3.381061e-05,1.222318e-04,1.222318e-06
2.801249e-01,3.008837e-05,1.070862e-04,1.070862e-06
2.830128e-01,2.791667e-05,1.059686e-04,1.059686e-06
2.859006e-01,2.506219e-05,1.003348e-04,1.003348e-06
2.887885e-01,2.276186e-05,9.458869e-05,9.458869e-07
2.916764e-01,2.039874e-05,8.858788e-05,8.858788e-07
2.945643e-01,1.864147e-05,8.324404e-05,8.324404e-07
2.974522e-01,1.671154e-05,7.484762e-05,7.484762e-07
3.003401e-01,1.502426e-05,6.742930e-05,6.742930e-07
3.032280e-01,1.355198e-05,6.173393e-05,6.173393e-07
3.061158e-01,1.229081e-05,5.770694e-05,5.770694e-07
3.090037e-01,1.124237e-05,5.369654e-05,5.369654e-07
3.118916e-01,1.028529e-05,5.106844e-05,5.106844e-07
3.147795e-01,9.450247e-06,5.120732e-05,5.120732e-07
3.176674e-01,8.879241e-06,5.043507e-05,5.043507e-07
3.205553e-01,8.425396e-06,5.229411e-05,5.229411e-07
3.234432e-01,7.774106e-06,5.240827e-05,5.240827e-07
3.263310e-01,7.214500e-06,5.034157e-05,5.034157e-07
3.292189e-01,6.712436e-06,4.932214e-05,4.932214e-07
3.321068e-01,6.183966e-06,4.453489e-05,4.453489e-07
3.349947e-01,5.656962e-06,4.031673e-05,4.031673e-07
3.378826e-01,5.168725e-06,3.713889e-05,3.713889e-07
3.407705e-01,4.761907e-06,3.304445e-05,3.304445e-07
3.436583e-01,4.417517e-06,3.203824e-05,3.203824e-07
3.465462e-01,4.093610e-06,2.998288e-05,2.998288e-07
3.494341e-01,3.845357e-06,2.923570e-05,2.923570e-07
3.523220e-01,3.561585e-06,2.750480e-05,2.750480e-07
3.552099e-01,3.361224e-06,2.703458e-05,2.703458e-07
3.580978e-01,3.157815e-06,2.684103e-05,2.684103e-07
3.609857e-01,2.961296e-06,2.646207e-05,2.646207e-07
3.638735e-01,2.801884e-06,2.688647e-05,2.688647e-07
3.667614e-01,2.578997e-06,2.603348e-05,2.603348e-07
3.696493e-01,2.395218e-06,2.509718e-05,2.509718e-07
3.725372e-01,2.246183e-06,2.355617e-05,2.355617e-07
3.754251e-01,2.051673e-06,2.155466e-05,2.155466e-07
3.783130e-01,1.875091e-06,1.944105e-05,1.944105e-07
3.812009e-01,1.757649e-06,1.839994e-05,1.839994e-07
3.840887e-01,1.628831e-06,1.680942e-05,1.680942e-07
3.869766e-01,1.533186e-06,1.542850e-05,1.542850e-07
3.898645e-01,1.478590e-06,1.463176e-05,1.463176e-07
3.927524e-01,1.434143e-06,1.443875e-05,1.443875e-07
